epoch,acc,loss,val_acc,val_loss
0,0.35842789917846085,1.3384099251802297,0.43227665620166217,1.296138980546671
1,0.6293938554392408,1.0183938302526572,0.6743515831249248,0.9014625666120898
2,0.7951840577843511,0.5838429667828916,0.7233429375917836,0.7645054581529469
3,0.8513700526208716,0.40696618269428864,0.7146974044505732,0.774393386387344
4,0.883199557336189,0.32406644302492754,0.7002881854686682,0.8129347722537236
5,0.9092167174423497,0.2628938614447758,0.6945244967078613,0.8706813966506496
6,0.9277608634328169,0.21607532876203703,0.7002881854686682,0.9097290884177348
7,0.9407694435271404,0.17914062137505435,0.6714697387445213,0.9851849807442437
8,0.9521173539994464,0.15837382265992223,0.6974063410882647,1.0260938754686362
9,0.960420702868408,0.1332952383088003,0.6743515831249248,1.1035772776741115
10,0.9629117075736391,0.11951232749691407,0.6858789618489378,1.138645593130623
11,0.9678937173140468,0.1126406945673805,0.6714697416646336,1.238679195687132
12,0.9690008303349017,0.10236307888204392,0.6685878943641179,1.221197574901306
13,0.9748131746471077,0.08894249001183306,0.6743515860450371,1.2607888663536533
14,0.9723221697934011,0.08931914338140384,0.680115274805844,1.3135996091606295
15,0.9728757265760336,0.08865074402996288,0.6887608079470544,1.3154846635950401
16,0.9753667310997947,0.07938002404820513,0.6772334304254406,1.3958545287679183
17,0.9748131744986323,0.07899581831708496,0.6685878943641179,1.442733454772993
18,0.9756435095488514,0.07203944257122598,0.680115274805844,1.4319487105872515
19,0.9753667312482701,0.07626001961534926,0.6743515831249248,1.452313556794818
20,0.9753667312482701,0.06816469318030566,0.6829971162661351,1.4870071809642254
21,0.9775809575044445,0.0645396099702955,0.6685878972842302,1.5018005336739488
22,0.9753667312482701,0.07316980459524998,0.6657060529038267,1.5253055896126915
23,0.9767506226027008,0.060053709029343004,0.6714697416646336,1.5204422336490422
24,0.9773041792038634,0.058894064432072436,0.6512968315171234,1.6377313473726212
